Feature,Importance
Product_Density,0.10259712717339835
NumOfProducts,0.06835471835471836
Age,0.03645162882451016
Geography,0.01405033693169283
IsActiveMember,0.011942682281665284
Product_Engagement,0.007987957140499557
Gender,0.007954487615504569
Balance,0.006426303036472525
Balance_to_Salary,0.0037013130233469415
CreditScore,0.0019387646506290545
Age_Tenure_Interaction,0.0002559570356180374
Year,0.0
HasCrCard,0.0
CustomerId,-3.9793260132214844e-05
Tenure,-4.133563455596123e-05
EstimatedSalary,-6.601362533564803e-05
Surname,-0.00033631474309437915
